stop_id,stop_name,stop_lat,stop_lon
S8892205,Lichtervelde,51.025162,3.127209
S8892254,Tielt,50.990839,3.33034
S8892288,Aarsele,50.98446,3.41836
S8892304,Furnes,51.073869,2.66994
S8892320,Coxyde,51.079199,2.652773
S8892338,La Panne,51.077398,2.601966
S8892403,Kortemark,51.025244,3.043456
S8892452,Dixmude,51.032722,2.868947
S8892601,Audenarde,50.850116,3.600388
S8892627,Eine,50.870429,3.623777
S8892635,Zingem,50.908026,3.646381
S8892643,Gavere-Asper,50.930021,3.639728
S8892650,Eke-Nazareth,50.960775,3.627836
S8892692,Sint-Denijs-Boekel,50.8743,3.6984
S8892734,Anzegem,50.826385,3.495013
S8892908,Renaix,50.74251,3.60255
S8893013,Merelbeke,51.01753,3.76889
S8893039,Melle,51.00281,3.79709
S8893047,Gontrode,50.980198,3.801671
S8893054,Landskouter,50.970549,3.791148
S8893062,Moortsele,50.953518,3.78134
S8893070,Scheldewindeke,50.937072,3.777844
S8893120,Gand-Dampoort,51.056369,3.74059
S8893179,Gentbrugge,51.038644,3.756326
S8893211,Wondelgem,51.088357,3.719075
S8893252,Evergem,51.107583,3.701381
S8893260,Sleidinge,51.126603,3.667527
S8893401,Termonde,51.02278,4.10143
S8893443,Sint-Gillis,51.021698,4.117831
S8893518,Oudegem,51.01523,4.064472
S8893526,Schoonaarde,51.003152,4.011095
S8893534,Wichelen,51.001964,3.969195
S8893542,Schellebelle,51.00315,3.92137
S8893559,Wetteren,51.0016,3.88188
S8893567,Kwatrecht,50.991748,3.829591
S8893583,Serskamp,50.9844,3.95936
S8893708,Eeklo,51.181329,3.574518
S8893815,Waarschoot,51.15461,3.61535
S8894151,Beervelde,51.087527,3.879383
S8894201,Lokeren,51.108062,3.987794
S8894235,Zele,51.073255,4.042001
S8894425,Sinaai,51.1434,4.06894
S8894433,Belsele,51.150993,4.08861
S8894508,Saint-Nicolas,51.171469,4.142963
S8894672,Tamise,51.126085,4.221349
S8894714,Nieuwkerken-Waas,51.185608,4.185904
S8894748,Beveren,51.208341,4.259525
S8894755,Melsele,51.210712,4.286767
S8894821,Zwijndrecht,51.214106,4.329776
S8895000,Alost,50.942818,4.039649
S8895067,Lede,50.9709,3.98498
